temporada,competicao,rodada_comp,data,local,time,adversario,placar,posicao_campo,minuto,placar_pos_gol,tipo,jogador_assistente
13/14,LaLiga,32,05/04/2014,H,FC Barcelona,Real Betis Balompie,03:01,CF,86,03:01,Penalty rebound,Antonio A05a
13/14,LaLiga,34,20/04/2014,H,FC Barcelona,Athletic Bilbao,02:01,CF,74,02:01,Direct free kick,
13/14,LaLiga,35,27/04/2014,A,FC Barcelona,Villarreal CF,02:03,CF,83,02:03,Right-footed shot,Cesc Fabregas
13/14,LaLiga,36,03/05/2014,H,FC Barcelona,Getafe CF,02:02,CF,23,01:00,Left-footed shot,Dani Alves
14/15,LaLiga,1,24/08/2014,H,FC Barcelona,Elche CF,03:00,CF,42,01:00,Left-footed shot,Sergio Busquets
14/15,LaLiga,1,24/08/2014,H,FC Barcelona,Elche CF,03:00,CF,64,03:00,Left-footed shot,
14/15,LaLiga,4,21/09/2014,A,FC Barcelona,Levante UD,00:05,CF,77,00:05,Right-footed shot,
14/15,LaLiga,6,27/09/2014,H,FC Barcelona,Granada CF,06:00,CF,62,04:00,Header,Dani Alves
14/15,LaLiga,6,27/09/2014,H,FC Barcelona,Granada CF,06:00,CF,82,06:00,Right-footed shot,
14/15,UEFA Champions League,Group Stage,30/09/2014,A,FC Barcelona,Paris Saint-Germain,03:02,RW,12,01:01,Left-footed shot,Andres Iniesta
14/15,LaLiga,7,04/10/2014,A,FC Barcelona,Rayo Vallecano,00:02,CF,35,00:01,Left-footed shot,Gerard Pique
14/15,LaLiga,8,18/10/2014,H,FC Barcelona,SD Eibar,03:00,CF,74,03:00,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,21/10/2014,H,FC Barcelona,Ajax Amsterdam,03:01,CF,24,02:00,Left-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,05/11/2014,A,FC Barcelona,Ajax Amsterdam,00:02,RW,36,00:01,Header,Marc Bartra
14/15,UEFA Champions League,Group Stage,05/11/2014,A,FC Barcelona,Ajax Amsterdam,00:02,RW,76,00:02,Left-footed shot,Pedro
14/15,LaLiga,12,22/11/2014,H,FC Barcelona,Sevilla FC,05:01,RW,21,01:00,Direct free kick,
14/15,LaLiga,12,22/11/2014,H,FC Barcelona,Sevilla FC,05:01,RW,73,04:01,Tap-in,Neymar
14/15,LaLiga,12,22/11/2014,H,FC Barcelona,Sevilla FC,05:01,RW,78,05:01,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,25/11/2014,A,FC Barcelona,APOEL Nicosia,00:04,CF,38,00:02,Right-footed shot,Rafinha
14/15,UEFA Champions League,Group Stage,25/11/2014,A,FC Barcelona,APOEL Nicosia,00:04,CF,58,00:03,Right-footed shot,Dani Alves
14/15,UEFA Champions League,Group Stage,25/11/2014,A,FC Barcelona,APOEL Nicosia,00:04,CF,87,00:04,Right-footed shot,Pedro
14/15,LaLiga,14,07/12/2014,H,FC Barcelona,RCD Espanyol Barcelona,05:01,RW,45+1,01:01,Left-footed shot,Xavi
14/15,LaLiga,14,07/12/2014,H,FC Barcelona,RCD Espanyol Barcelona,05:01,RW,50,02:01,Right-footed shot,Luis Suarez
14/15,LaLiga,14,07/12/2014,H,FC Barcelona,RCD Espanyol Barcelona,05:01,RW,81,05:01,Right-footed shot,Pedro
14/15,UEFA Champions League,Group Stage,10/12/2014,H,FC Barcelona,Paris Saint-Germain,03:01,AM,19,01:01,Right-footed shot,Luis Suarez
14/15,LaLiga,16,20/12/2014,H,FC Barcelona,CÃ³rdoba CF,05:00,RW,82,04:00,Right-footed shot,
14/15,LaLiga,16,20/12/2014,H,FC Barcelona,CÃ³rdoba CF,05:00,RW,90,05:00,Right-footed shot,
14/15,Copa del Rey,last 16,08/01/2015,H,FC Barcelona,Elche CF,05:00,RW,45,03:00,Penalty,
14/15,LaLiga,18,11/01/2015,H,FC Barcelona,Atletico de Madrid,03:01,RW,87,03:01,Left-footed shot,
14/15,LaLiga,19,18/01/2015,A,FC Barcelona,Deportivo de La Coruaa,00:04,RW,11,00:01,Header,Ivan Rakitic
14/15,LaLiga,19,18/01/2015,A,FC Barcelona,Deportivo de La Coruaa,00:04,RW,33,00:02,Left-footed shot,Luis Suarez
14/15,LaLiga,19,18/01/2015,A,FC Barcelona,Deportivo de La Coruaa,00:04,RW,62,00:03,Left-footed shot,Ivan Rakitic
14/15,Copa del Rey,Quarter-Finals,21/01/2015,H,FC Barcelona,Atletico de Madrid,01:00,RW,85,01:00,Penalty rebound,
14/15,LaLiga,20,24/01/2015,A,FC Barcelona,Elche CF,00:06,CF,55,00:02,Penalty,
14/15,LaLiga,20,24/01/2015,A,FC Barcelona,Elche CF,00:06,CF,88,00:05,Left-footed shot,Marc Bartra
14/15,LaLiga,21,01/02/2015,H,FC Barcelona,Villarreal CF,03:02,RW,55,03:02,Right-footed shot,Luis Suarez
14/15,LaLiga,22,08/02/2015,A,FC Barcelona,Athletic Bilbao,02:05,RW,15,00:01,Direct free kick,
14/15,Copa del Rey,Semi-Finals,11/02/2015,H,FC Barcelona,Villarreal CF,03:01,RW,41,01:00,Left-footed shot,Luis Suarez
14/15,LaLiga,23,15/02/2015,H,FC Barcelona,Levante UD,05:00,CF,38,02:00,Right-footed shot,Marc Bartra
14/15,LaLiga,23,15/02/2015,H,FC Barcelona,Levante UD,05:00,CF,59,03:00,Right-footed shot,Pedro
14/15,LaLiga,23,15/02/2015,H,FC Barcelona,Levante UD,05:00,CF,65,04:00,Penalty,
14/15,LaLiga,25,28/02/2015,A,FC Barcelona,Granada CF,01:03,RW,70,01:03,Right-footed shot,Luis Suarez
14/15,LaLiga,26,08/03/2015,H,FC Barcelona,Rayo Vallecano,06:01,RW,56,03:00,Penalty,
14/15,LaLiga,26,08/03/2015,H,FC Barcelona,Rayo Vallecano,06:01,RW,63,04:00,Tap-in,
14/15,LaLiga,26,08/03/2015,H,FC Barcelona,Rayo Vallecano,06:01,RW,68,05:00,Left-footed shot,Pedro
14/15,LaLiga,27,14/03/2015,A,FC Barcelona,SD Eibar,00:02,RW,31,00:01,Penalty,
14/15,LaLiga,27,14/03/2015,A,FC Barcelona,SD Eibar,00:02,RW,55,00:02,Header,Ivan Rakitic
14/15,LaLiga,30,08/04/2015,H,FC Barcelona,UD Almera,04:00,RW,33,01:00,Left-footed shot,Marc Bartra
14/15,LaLiga,31,11/04/2015,A,FC Barcelona,Sevilla FC,02:02,RW,15,00:01,Left-footed shot,Neymar
14/15,LaLiga,32,18/04/2015,H,FC Barcelona,Valencia CF,02:00,RW,90+4,02:00,Left-footed shot,
14/15,LaLiga,33,25/04/2015,A,FC Barcelona,RCD Espanyol Barcelona,00:02,RW,25,00:02,Left-footed shot,Luis Suarez
14/15,LaLiga,34,28/04/2015,H,FC Barcelona,Getafe CF,06:00,RW,9,01:00,Penalty,
14/15,LaLiga,34,28/04/2015,H,FC Barcelona,Getafe CF,06:00,RW,47,06:00,Left-footed shot,Luis Suarez
14/15,LaLiga,35,02/05/2015,A,FC Barcelona,CÃ³rdoba CF,00:08,RW,47,00:03,Header,Dani Alves
14/15,LaLiga,35,02/05/2015,A,FC Barcelona,CÃ³rdoba CF,00:08,RW,80,00:06,Left-footed shot,Luis Suarez
14/15,UEFA Champions League,Semi-Finals,06/05/2015,H,FC Barcelona,Bayern Munich,03:00,RW,77,01:00,Left-footed shot,Dani Alves
14/15,UEFA Champions League,Semi-Finals,06/05/2015,H,FC Barcelona,Bayern Munich,03:00,RW,80,02:00,Right-footed shot,Ivan Rakitic
14/15,LaLiga,37,17/05/2015,A,FC Barcelona,Atletico de Madrid,00:01,RW,65,00:01,Left-footed shot,Pedro
14/15,LaLiga,38,23/05/2015,H,FC Barcelona,Deportivo de La Coruaa,02:02,RW,5,01:00,Header,Rafinha
14/15,LaLiga,38,23/05/2015,H,FC Barcelona,Deportivo de La Coruaa,02:02,RW,59,02:00,Right-footed shot,Neymar
14/15,Copa del Rey,Final,30/05/2015,A,FC Barcelona,Athletic Bilbao,01:03,RW,20,00:01,Solo run,
14/15,Copa del Rey,Final,30/05/2015,A,FC Barcelona,Athletic Bilbao,01:03,RW,74,00:03,Left-footed shot,Dani Alves
15/16,UEFA Super Cup,Final,11/08/2015,H,FC Barcelona,Sevilla FC,5:4 AET,RW,7,01:01,Direct free kick,
15/16,UEFA Super Cup,Final,11/08/2015,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,02:01,Direct free kick,
15/16,Supercopa,final,17/08/2015,H,FC Barcelona,Athletic Bilbao,01:01,RW,43,01:00,Left-footed shot,Luis Suarez
15/16,LaLiga,3,12/09/2015,A,FC Barcelona,Atletico de Madrid,01:02,RW,77,01:02,Left-footed shot,Luis Suarez
15/16,LaLiga,4,20/09/2015,H,FC Barcelona,Levante UD,04:01,AM,61,03:00,Penalty,
15/16,LaLiga,4,20/09/2015,H,FC Barcelona,Levante UD,04:01,AM,90,04:01,Left-footed shot,Marc Bartra
15/16,UEFA Champions League,Group Stage,24/11/2015,H,FC Barcelona,AS Roma,06:01,RW,18,02:00,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,Group Stage,24/11/2015,H,FC Barcelona,AS Roma,06:01,RW,60,05:00,Tap-in,
15/16,LaLiga,13,28/11/2015,H,FC Barcelona,Real Sociedad,04:00,RW,90+1,04:00,Left-footed shot,Neymar
15/16,UEFA Champions League,Group Stage,09/12/2015,A,FC Barcelona,Bayer 04 Leverkusen,01:01,CF,20,00:01,Right-footed shot,Ivan Rakitic
15/16,LaLiga,15,12/12/2015,H,FC Barcelona,Deportivo de La Coruaa,02:02,RW,39,01:00,Direct free kick,
15/16,FIFA Club World Cup,Final,20/12/2015,A,FC Barcelona,CA River Plate,00:03,RW,36,00:01,Left-footed shot,Neymar
15/16,LaLiga,17,30/12/2015,H,FC Barcelona,Real Betis Balompie,04:00,RW,33,02:00,Right-footed shot,Neymar
15/16,Copa del Rey,last 16,06/01/2016,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,13,01:01,Left-footed shot,Andres Iniesta
15/16,Copa del Rey,last 16,06/01/2016,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,44,02:01,Direct free kick,
15/16,LaLiga,19,09/01/2016,H,FC Barcelona,Granada CF,04:00,RW,8,01:00,Left-footed shot,Arda Turan
15/16,LaLiga,19,09/01/2016,H,FC Barcelona,Granada CF,04:00,RW,14,02:00,Left-footed shot,Luis Suarez
15/16,LaLiga,19,09/01/2016,H,FC Barcelona,Granada CF,04:00,RW,58,03:00,Tap-in,
15/16,LaLiga,20,17/01/2016,H,FC Barcelona,Athletic Bilbao,06:00,RW,7,01:00,Penalty,
15/16,LaLiga,21,23/01/2016,A,FC Barcelona,Malaga CF,01:02,RW,51,01:02,Left-footed shot,Adriano
15/16,LaLiga,22,30/01/2016,H,FC Barcelona,Atletico de Madrid,02:01,RW,30,01:01,Left-footed shot,Jordi Alba
15/16,Copa del Rey,Semi-Finals,03/02/2016,H,FC Barcelona,Valencia CF,07:00,RW,29,03:00,Left-footed shot,Neymar
15/16,Copa del Rey,Semi-Finals,03/02/2016,H,FC Barcelona,Valencia CF,07:00,RW,59,04:00,Left-footed shot,Luis Suarez
15/16,Copa del Rey,Semi-Finals,03/02/2016,H,FC Barcelona,Valencia CF,07:00,RW,74,05:00,Left-footed shot,
15/16,LaLiga,24,14/02/2016,H,FC Barcelona,Celta de Vigo,06:01,RW,28,01:00,Direct free kick,
15/16,LaLiga,16,17/02/2016,A,FC Barcelona,Sporting GijÃ³n,01:03,RW,25,00:01,Left-footed shot,Luis Suarez
15/16,LaLiga,16,17/02/2016,A,FC Barcelona,Sporting GijÃ³n,01:03,RW,31,01:02,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,last 16,23/02/2016,A,FC Barcelona,Arsenal FC,00:02,RW,71,00:01,Left-footed shot,Neymar
15/16,UEFA Champions League,last 16,23/02/2016,A,FC Barcelona,Arsenal FC,00:02,RW,83,00:02,Penalty,
15/16,LaLiga,26,28/02/2016,H,FC Barcelona,Sevilla FC,02:01,RW,31,01:01,Direct free kick,
15/16,LaLiga,27,03/03/2016,A,FC Barcelona,Rayo Vallecano,01:05,RW,23,00:02,Left-footed shot,Neymar
15/16,LaLiga,27,03/03/2016,A,FC Barcelona,Rayo Vallecano,01:05,RW,53,00:03,Left-footed shot,
15/16,LaLiga,27,03/03/2016,A,FC Barcelona,Rayo Vallecano,01:05,RW,72,01:04,Left-footed shot,Sergio Busquets
15/16,LaLiga,28,06/03/2016,A,FC Barcelona,SD Eibar,00:04,RW,42,00:02,Left-footed shot,Munir El Haddadi
15/16,LaLiga,28,06/03/2016,A,FC Barcelona,SD Eibar,00:04,RW,76,00:03,Penalty,
15/16,LaLiga,29,12/03/2016,H,FC Barcelona,Getafe CF,06:00,CF,41,04:00,Left-footed shot,Arda Turan
15/16,UEFA Champions League,last 16,16/03/2016,H,FC Barcelona,Arsenal FC,03:01,RW,86,03:01,Left-footed shot,Neymar
15/16,LaLiga,33,17/04/2016,H,FC Barcelona,Valencia CF,01:02,RW,63,01:02,Left-footed shot,Jordi Alba
15/16,LaLiga,34,20/04/2016,A,FC Barcelona,Deportivo de La Coruaa,00:08,RW,73,00:06,Left-footed shot,Luis Suarez
15/16,LaLiga,35,23/04/2016,H,FC Barcelona,Sporting GijÃ³n,06:00,RW,13,01:00,Header,
15/16,LaLiga,37,08/05/2016,H,FC Barcelona,RCD Espanyol Barcelona,05:00,RW,8,01:00,Direct free kick,
16/17,Supercopa,final,17/08/2016,H,FC Barcelona,Sevilla FC,03:00,RW,55,03:00,Header,Lucas Digne
16/17,LaLiga,1,20/08/2016,H,FC Barcelona,Real Betis Balompie,06:02,RW,37,02:01,Left-footed shot,Sergi Roberto
16/17,LaLiga,1,20/08/2016,H,FC Barcelona,Real Betis Balompie,06:02,RW,58,05:01,Left-footed shot,Arda Turan
16/17,UEFA Champions League,Group Stage,13/09/2016,H,FC Barcelona,Celtic FC,07:00,RW,3,01:00,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,13/09/2016,H,FC Barcelona,Celtic FC,07:00,RW,27,02:00,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,13/09/2016,H,FC Barcelona,Celtic FC,07:00,RW,60,05:00,Left-footed shot,Luis Suarez
16/17,LaLiga,4,17/09/2016,A,FC Barcelona,CD Leganes,01:05,RW,15,00:01,Left-footed shot,Luis Suarez
16/17,LaLiga,4,17/09/2016,A,FC Barcelona,CD Leganes,01:05,RW,55,00:04,Penalty,
16/17,LaLiga,8,15/10/2016,H,FC Barcelona,Deportivo de La Coruaa,04:00,RW,58,04:00,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,19/10/2016,H,FC Barcelona,Manchester City,04:00,RW,17,01:00,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,19/10/2016,H,FC Barcelona,Manchester City,04:00,RW,61,02:00,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,19/10/2016,H,FC Barcelona,Manchester City,04:00,RW,69,03:00,Left-footed shot,Luis Suarez
16/17,LaLiga,9,22/10/2016,A,FC Barcelona,Valencia CF,02:03,RW,22,00:01,Left-footed shot,Ivan Rakitic
16/17,LaLiga,9,22/10/2016,A,FC Barcelona,Valencia CF,02:03,RW,90+4,02:03,Penalty,
16/17,UEFA Champions League,Group Stage,01/11/2016,A,FC Barcelona,Manchester City,03:01,RW,21,00:01,Left-footed shot,Neymar
16/17,LaLiga,11,06/11/2016,A,FC Barcelona,Sevilla FC,01:02,RW,43,01:01,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,23/11/2016,A,FC Barcelona,Celtic FC,00:02,RW,24,00:01,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,23/11/2016,A,FC Barcelona,Celtic FC,00:02,RW,55,00:02,Penalty,
16/17,LaLiga,13,27/11/2016,A,FC Barcelona,Real Sociedad,01:01,RW,59,01:01,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,06/12/2016,H,FC Barcelona,Borussia MÃ¶nchengladbach,04:00,RW,16,01:00,Left-footed shot,Arda Turan
16/17,LaLiga,15,10/12/2016,A,FC Barcelona,CA Osasuna,00:03,RW,72,00:02,Left-footed shot,Jordi Alba
16/17,LaLiga,15,10/12/2016,A,FC Barcelona,CA Osasuna,00:03,RW,90+2,00:03,Left-footed shot,Sergio Busquets
16/17,LaLiga,16,18/12/2016,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,90,04:01,Left-footed shot,Luis Suarez
16/17,Copa del Rey,last 16,05/01/2017,A,FC Barcelona,Athletic Bilbao,02:01,RW,52,02:01,Direct free kick,
16/17,LaLiga,17,08/01/2017,A,FC Barcelona,Villarreal CF,01:01,RW,90,01:01,Direct free kick,
16/17,Copa del Rey,last 16,11/01/2017,H,FC Barcelona,Athletic Bilbao,03:01,RW,78,03:01,Direct free kick,
16/17,LaLiga,18,14/01/2017,H,FC Barcelona,UD Las Palmas,05:00,RW,52,02:00,Right-footed shot,
16/17,LaLiga,19,22/01/2017,A,FC Barcelona,SD Eibar,00:04,RW,50,00:02,Left-footed shot,Luis Suarez
16/17,Copa del Rey,Quarter-Finals,26/01/2017,H,FC Barcelona,Real Sociedad,05:02,RW,55,02:00,Penalty,
16/17,Copa del Rey,Semi-Finals,01/02/2017,A,FC Barcelona,Atletico de Madrid,01:02,RW,33,00:02,Left-footed shot,Ivan Rakitic
16/17,LaLiga,21,04/02/2017,H,FC Barcelona,Athletic Bilbao,03:00,RW,40,02:00,Direct free kick,
16/17,LaLiga,22,11/02/2017,A,FC Barcelona,Deportivo Alaves,00:06,RW,59,00:03,Left-footed shot,Neymar
16/17,LaLiga,23,19/02/2017,H,FC Barcelona,CD Leganes,02:01,RW,4,01:00,Right-footed shot,Luis Suarez
16/17,LaLiga,23,19/02/2017,H,FC Barcelona,CD Leganes,02:01,RW,90,02:01,Penalty,
16/17,LaLiga,24,26/02/2017,A,FC Barcelona,Atletico de Madrid,01:02,RW,86,01:02,Left-footed shot,
16/17,LaLiga,25,01/03/2017,H,FC Barcelona,Sporting GijÃ³n,06:01,RW,9,01:00,Header,Javier Mascherano
16/17,LaLiga,26,04/03/2017,H,FC Barcelona,Celta de Vigo,05:00,AM,24,01:00,Left-footed shot,Sergio Busquets
16/17,LaLiga,26,04/03/2017,H,FC Barcelona,Celta de Vigo,05:00,AM,64,05:00,Left-footed shot,
16/17,UEFA Champions League,last 16,08/03/2017,H,FC Barcelona,Paris Saint-Germain,06:01,AM,50,03:00,Penalty,
16/17,LaLiga,28,19/03/2017,H,FC Barcelona,Valencia CF,04:02,AM,45,02:01,Penalty,
16/17,LaLiga,28,19/03/2017,H,FC Barcelona,Valencia CF,04:02,AM,53,03:02,Right-footed shot,Javier Mascherano
16/17,LaLiga,30,05/04/2017,H,FC Barcelona,Sevilla FC,03:00,RW,28,02:00,Right-footed shot,Luis Suarez
16/17,LaLiga,30,05/04/2017,H,FC Barcelona,Sevilla FC,03:00,RW,33,03:00,Left-footed shot,
16/17,LaLiga,32,15/04/2017,H,FC Barcelona,Real Sociedad,03:02,RW,17,01:00,Left-footed shot,Luis Suarez
16/17,LaLiga,32,15/04/2017,H,FC Barcelona,Real Sociedad,03:02,RW,37,02:00,Tap-in,
16/17,LaLiga,33,23/04/2017,A,FC Barcelona,Real Madrid,02:03,RW,33,01:01,Left-footed shot,Ivan Rakitic
16/17,LaLiga,33,23/04/2017,A,FC Barcelona,Real Madrid,02:03,RW,90+2,02:03,Left-footed shot,Jordi Alba
16/17,LaLiga,34,26/04/2017,H,FC Barcelona,CA Osasuna,07:01,AM,12,01:00,Left-footed shot,
16/17,LaLiga,34,26/04/2017,H,FC Barcelona,CA Osasuna,07:01,AM,61,04:01,Left-footed shot,Ivan Rakitic
16/17,LaLiga,36,06/05/2017,H,FC Barcelona,Villarreal CF,04:01,RW,45,02:01,Left-footed shot,Sergio Busquets
16/17,LaLiga,36,06/05/2017,H,FC Barcelona,Villarreal CF,04:01,RW,82,04:01,Penalty,
16/17,LaLiga,38,21/05/2017,H,FC Barcelona,SD Eibar,04:02,RW,75,03:02,Penalty,
16/17,LaLiga,38,21/05/2017,H,FC Barcelona,SD Eibar,04:02,RW,90+2,04:02,Right-footed shot,
16/17,Copa del Rey,Final,27/05/2017,H,FC Barcelona,Deportivo Alaves,03:01,RW,30,01:00,Left-footed shot,Neymar
17/18,Supercopa,final,13/08/2017,H,FC Barcelona,Real Madrid,01:03,RW,77,01:01,Penalty,
17/18,LaLiga,2,26/08/2017,A,FC Barcelona,Deportivo Alaves,00:02,CF,55,00:01,Left-footed shot,Jordi Alba
17/18,LaLiga,2,26/08/2017,A,FC Barcelona,Deportivo Alaves,00:02,CF,66,00:02,Left-footed shot,Paco Alcacer
17/18,LaLiga,3,09/09/2017,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,26,01:00,Left-footed shot,Ivan Rakitic
17/18,LaLiga,3,09/09/2017,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,35,02:00,Right-footed shot,Jordi Alba
17/18,LaLiga,3,09/09/2017,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,67,03:00,Left-footed shot,Jordi Alba
17/18,UEFA Champions League,Group Stage,12/09/2017,H,FC Barcelona,Juventus FC,03:00,CF,45,01:00,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,12/09/2017,H,FC Barcelona,Juventus FC,03:00,CF,69,03:00,Left-footed shot,
17/18,LaLiga,5,19/09/2017,H,FC Barcelona,SD Eibar,06:01,CF,21,01:00,Penalty,
17/18,LaLiga,5,19/09/2017,H,FC Barcelona,SD Eibar,06:01,CF,59,04:01,Left-footed shot,Sergio Busquets
17/18,LaLiga,5,19/09/2017,H,FC Barcelona,SD Eibar,06:01,CF,62,05:01,Left-footed shot,Paulinho
17/18,LaLiga,5,19/09/2017,H,FC Barcelona,SD Eibar,06:01,CF,87,06:01,Left-footed shot,Aleix Vidal
17/18,LaLiga,7,01/10/2017,H,FC Barcelona,UD Las Palmas,03:00,SS,70,02:00,Left-footed shot,Denis Suarez
17/18,LaLiga,7,01/10/2017,H,FC Barcelona,UD Las Palmas,03:00,SS,77,03:00,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,18/10/2017,H,FC Barcelona,Olympiacos Piraeus,03:01,CF,61,02:00,Direct free kick,
17/18,LaLiga,10,28/10/2017,A,FC Barcelona,Athletic Bilbao,00:02,SS,37,00:01,Left-footed shot,Jordi Alba
17/18,LaLiga,14,02/12/2017,H,FC Barcelona,Celta de Vigo,02:02,SS,22,01:01,Left-footed shot,Paulinho
17/18,LaLiga,15,10/12/2017,A,FC Barcelona,Villarreal CF,00:02,RW,83,00:02,Left-footed shot,Sergio Busquets
17/18,LaLiga,17,23/12/2017,A,FC Barcelona,Real Madrid,00:03,SS,64,00:02,Penalty,
17/18,LaLiga,18,07/01/2018,H,FC Barcelona,Levante UD,03:00,SS,12,01:00,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,11/01/2018,H,FC Barcelona,Celta de Vigo,05:00,SS,13,01:00,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,11/01/2018,H,FC Barcelona,Celta de Vigo,05:00,SS,15,02:00,Left-footed shot,Jordi Alba
